tv	tele,television,tv,video,テレビ,映像
airplanes	airplanes,飛行機
airsoft	airsoft,エアガン
alarm	alarm,アラーム
albums	albums,アルバム
alcoholic	alcoholic,アルコール依存症
alloys	alloys,合金
alpine	alpine,高山
alternatives	alternatives,代替案
altimeters	altimeters,高度計
alto	alto,アルト
alum	alum,ミョウバン
ambulances	ambulances,救急車
ammunition	ammunition,弾薬
amphibians	amphibians,両生類
amplifier	amplifier,増幅器
amplifiers	amplifiers,アンプ
analog	analog,アナログ
anchors	anchors,アンカー
andouille	andouille,アンドゥイユ
animal	animal,動物
animals	animals,動物
ankle	ankle,足首
anklets	anklets,アンクレット
antenna	antenna,アンテナ
antennas	antennas,アンテナ
anti	anti,アンチ
antivirus	antivirus,ウイルス対策
app	app,アプリ
apparel	apparel,衣服
appetizers	appetizers,前菜
apple	apple,りんご
apples	apples,リンゴ
aprons	aprons,エプロン
aquarium	aquarium,水族館
aquatic	aquatic,水生の
arbor	arbor,あずまや
arbors	arbors,あずまや
arcade	arcade,アーケード
area	area,エリア
arm	arm,アーム
armor	armor,鎧
armored	armored,装甲した
arrows	arrows,矢印
art	art,美術,アート,芸術
artichokes	artichokes,アーティチョーク
arts	arts,芸術
artwork	artwork,アートワーク
ascenders	ascenders,アセンダー
ashikos	ashikos,アシコス
assemblies	assemblies,アセンブリ
atari	atari,アタリ
athletic	athletic,アスレチック
attachments	attachments,添付ファイル
attractants	attractants,誘引剤
atvs	atvs,バギー
augers	augers,オーガー
australian	australian,オーストラリア人
auto	auto,自動
autoharps	autoharps,オートハープ
automation	automation,オートメーション
awards	awards,賞を受賞
axes	axes,軸
back	back,戻る
backpacks	backpacks,バックパック
bacon	bacon,ベーコン
badge	badge,バッジ
badges	badges,バッジ
badminton	badminton,バドミントン
baguette	baguette,バゲット
bait	bait,餌
baits	baits,餌
bakeware	bakeware,耐熱皿
baking	baking,ベーキング
baklava	baklava,バクラヴァ
balaclavas	balaclavas,目出し帽
balance	balance,バランス
ball	ball,ボール
ballet	ballet,バレエ
balloons	balloons,風船
balls	balls,ボール
band	band,バンド
bandanas	bandanas,バンダナ
banjos	banjos,バンジョー
banks	banks,銀行
banners	banners,バナー
baritone	baritone,バリトン
barrels	barrels,樽
bars	bars,バー
barstools	barstools,バースツール
baseballs	baseballs,野球
based	based,ベースの
bases	bases,基地
basic	basic,基本的な
basil	basil,バジル
basketball	basketball,バスケットボール
basketballs	basketballs,バスケットボール
baskets	baskets,バスケット
bass	bass,basses,ベース
bassoon	bassoon,ファゴット
bassoons	bassoons,ファゴット
bat	bat,バット
bathing	bathing,入浴
bathroom	bathroom,バスルーム
baths	baths,お風呂
batons	batons,バトン
bats	bats,コウモリ
batteries	batteries,電池
battery	battery,バッテリー
batting	batting,バッティング
battle	battle,戦い
bay	bay,湾
bbs	bbs,掲示板
beach	beach,ビーチ
beading	beading,ビーズ
bean	bean,豆
beanies	beanies,ビーニー帽
beans	beans,豆
bearing	bearing,ベアリング
bed	bed,ベッド
bedroom	bedroom,寝室
beds	beds,ベッド
bedskirts	bedskirts,ベッドスカート
beef	beef,牛肉
belay	belay,ビレイ
bells	bells,鐘
belt	belt,ベルト
belts	belts
benches	benches,ベンチ
bendables	bendables,曲がる物
berets	berets,ベレー帽
berries	berries,ベリー
bibs	bibs,よだれかけ
bicycles	bicycles,自転車
billiards	billiards,ビリヤード
bimini	bimini,ビミニ
bindings	bindings,バインディング
bingo	bingo,ビンゴ
bipods	bipods,バイポッド
bird	bird,鳥
birdcage	birdcage,鳥かご
birdcages	birdcages,鳥かご
birds	birds,鳥
biscotti	biscotti,ビスコッティ
bite	bite,噛む
bits	bits,ビット
bivy	bivy,ビビ
black	black,黒
blackberries	blackberries,ブラックベリー
blackjack	blackjack,ブラックジャック
blades	blades,ブレード
blank	blank,空白
blankets	blankets,毛布
blasters	blasters,ブラスター
blindfolds	blindfolds,目隠し
blinds	blinds,ブラインド
blocks	blocks,ブロック
blotters	blotters,吸い取り紙
blouses	blouses,ブラウス
blower	blower,送風機
blowers	blowers,送風機
blueberries	blueberries,ブルーベリー
bmx	bmx
bo	bo,ボー
board	board,ボード
boards	boards,ボード
boas	boas,ボアズ
boats	boats,ボート
bobbers	bobbers,浮き者
bobbleheads	bobbleheads,ボブルヘッド
bobs	bobs,ボブ
body	body,体
bodyboards	bodyboards,ボディボード
bokken	bokken,ボクケン
bondage	bondage,束縛
bone	bone,骨
bones	bones,骨
bongos	bongos,ボンゴ
books	books,本
booms	booms,ブーム
boot	boot,ブート
booties	booties,ブーツ
boots	boots,ブーツ
boresighters	boresighters,ボアサイター
bosc	bosc,ボスク
bottle	bottle,ボトル
bottles	bottles,ボトル
bottom	bottom,底
bouldering	bouldering,ボルダリング
bow	bow,弓
bowling	bowling,ボーリング
bowls	bowls,ボウル
bows	bows,弓
bowstrings	bowstrings,弓の弦
box	box,箱
boxes	boxes,ボックス
boys	boys,男の子たち
bracelets	bracelets,ブレスレット
braces	braces,ブレース
brackets	brackets,括弧
braided	braided,編組
brain	brain,脳
brakes	brakes,ブレーキ
brazed	brazed,ろう付けされた
breadsticks	breadsticks,ブレッドスティック
breakfast	breakfast,朝食
breast	breast,胸
breasts	breasts,胸
brewing	brewing,醸造
bridges	bridges,橋
bridles	bridles,手綱
brioches	brioches,ブリオッシュ
brisket	brisket,胸肉
broaches	broaches,ブローチ
broadheads	broadheads,ブロードヘッド
broccoli	broccoli,ブロッコリー
brooches	brooches,ブローチ
broths	broths,スープ
brownies	brownies,ブラウニー
brushes	brushes,ブラシ
bubble	bubble,バブル
bubbles	bubbles,泡
bucket	bucket,バケツ
buckles	buckles,バックル
buffers	buffers,バッファ
bugles	bugles,ラッパ
building	building,建物
buildings	buildings,建物
bulbs	bulbs,電球
bulldozers	bulldozers,ブルドーザー
bumper	bumper,バンパー
bumpers	bumpers,バンパー
bundles	bundles,バンドル
buns	buns,パン
buoys	buoys,ブイ
burger	burger,バーガー
burgers	burgers,ハンバーガー
burners	burners,バーナー
burp	burp,げっぷ
buses	buses,バス
business	business,仕事
busts	busts,胸像
butt	butt,お尻
butter	butter,バター
buttons	buttons,ボタン
cabin	cabin,キャビン
cabinets	cabinets,キャビネット
caddies	caddies,キャディ
cage	cage,ケージ
cages	cages,ケージ
cajons	cajons,カホン
cake	cake,ケーキ
cakes	cakes,ケーキ
calculators	calculators,電卓
calendars	calendars,カレンダー
calf	calf,カーフ
calibration	calibration,較正
calipers	calipers,キャリパー
calls	calls,電話
camcorder	camcorder,ビデオカメラ
camcorders	camcorders,ビデオカメラ
camouflage	camouflage,迷彩
canadian	canadian,カナダ人
candles	candles,キャンドル
canning	canning,缶詰
canoe	canoe,カヌー
canoeing	canoeing,カヌー
canoes	canoes,カヌー
canopies	canopies,キャノピー
capos	capos,カポ
caps	caps,キャップ
car	car,車
carabiners	carabiners,カラビナ
card	card,カード
cardio	cardio,有酸素運動
cards	cards,カード
cargo	cargo,貨物
carriers	carriers,キャリア
carrots	carrots,ニンジン
carry	carry,運ぶ
cars	cars,車
cart	cart,カート
cartridge	cartridge,カートリッジ
cartridges	cartridges,カートリッジ
carts	carts,カート
cases	cases,ケース
cash	cash,現金
casino	casino,カジノ
castanets	castanets,カスタネット
castles	castles,城
casual	casual,カジュアル
catcher	catcher,キャッチャー
catchers	catchers,キャッチャー
catches	catches,キャッチ
catnip	catnip,マタタビ
cauliflower	cauliflower,カリフラワー
caviars	caviars,キャビア
cd	cd
ceiling	ceiling,シーリング
cell	cell,細胞
cellos	cellos,チェロ
center	center,中心
centers	centers,センター
centrifugal	centrifugal,遠心力
ceramics	ceramics,セラミックス
cereal	cereal,穀物
chafing	chafing,擦れる
chai	chai,チャイ
chain	chain,chains,鎖,チェーン
chain	chains
chairs	chairs,椅子
chalk	chalk,チョーク
challah	challah,チャラー
charger	charger,充電器
chargers	chargers,充電器
charms	charms,魅力
charts	charts,チャート
chassis	chassis,シャーシ
checks	checks,小切手
cheerleading	cheerleading,チアリーディング
cheese	cheese,チーズ
cheesecakes	cheesecakes,チーズケーキ
cherries	cherries,さくらんぼ
chest	chest,胸
chew	chew,噛む
chicken	chicken,チキン
chickens	chickens,鶏
chikoo	chikoo,ちこー
chimes	chimes,チャイム
chippers	chippers,チッパー
chips	chips,チップ
chisels	chisels,ノミ
chives	chives,チャイブ
chocolate	chocolate,チョコレート
chops	chops,チョップ
choral	choral,合唱
chorizo	chorizo,チョリソ
chowders	chowders,チャウダー
christening	christening,洗礼式
chutes	chutes,シュート
ciabatta	ciabatta,チャバタ
cider	cider,サイダー
cigarette	cigarette,シガレット
cilantro	cilantro,コリアンダー
circles	circles,サークル
circlets	circlets,サークレット
clamps	clamps,クランプ
clarinet	clarinet,クラリネット
classical	classical,古典的な
claw	claw,爪
clay	clay,粘土
cleaners	cleaners,クリーナー
cleaning	cleaning,クリーニング
cleats	cleats,クリート
clinometers	clinometers,傾斜計
clipboards	clipboards,クリップボード
clips	clips,クリップ
clock	clock,クロック
clocks	clocks,時計
clothing	clothing,衣類,メンズファッション,レディースファッション
cloths	cloths,布
cloud	cloud,雲
club	club,クラブ
clubs	clubs,クラブ
clutch	clutch,クラッチ
clutches	clutches,クラッチ
co2	co2
coach	coach,コーチ
coasters	coasters,コースター
coats	coats,コート
coaxial	coaxial,同軸
cobblers	cobblers,靴屋
cocking	cocking,コッキング
cocktail	cocktail,カクテル
coconuts	coconuts,ココナッツ
coffeecakes	coffeecakes,コーヒーケーキ
coins	coins,コイン
cold	cold,寒い
colecovision	colecovision,コレコビジョン
collar	collar,襟
collars	collars,首輪
collectible	collectible,収集品
collectibles	collectibles,収集品
collections	collections,コレクション
colognes	colognes,ケルン
combinations	combinations,組み合わせ
combos	combos,コンボ
combs	combs,櫛
comfort	comfort,快適
comforters	comforters,掛け布団
commercial	commercial,コマーシャル
communication	communication,コミュニケーション
communion	communion,聖体拝領
compact	compact,コンパクト
compasses	compasses,コンパス
competition	competition,競争
complete	complete,完了
components	components,コンポーネント
composites	composites,複合材
compositing	compositing,合成
compound	compound,化合物
compressed	compressed,圧縮された
compression	compression,圧縮
computers	computers,コンピュータ
concert	concert,コンサート
concertinas	concertinas,コンサーティーナ
concrete	concrete,コンクリート
conducting	conducting,指揮する
connectors	connectors,コネクタ
consoles	consoles,コンソール
construction	construction,工事
content	content,コンテンツ
control	control,コントロール
controlled	controlled,制御された
controllers	controllers,コントローラー
controls	controls,コントロール
converters	converters,コンバーター
cookies	cookies,クッキー
cookware	cookware,調理器具
cooler	cooler,クーラー
coolers	coolers,クーラー
cooling	cooling,冷却
copiers	copiers,コピー機
cor	cor,コル
cordage	cordage,索具
core	core,コア
cork	cork,コルク
corks	corks,コルク栓
corn	corn,トウモロコシ
cornbread	cornbread,コーンブレッド
cornet	cornet,コルネット
cornets	cornets,コルネット
couches	couches,ソファ
counterbores	counterbores,ザグリ
counters	counters,カウンター
countersinks	countersinks,皿穴
country	country,国
couplers	couplers,カプラー
course	course,コース
court	court,裁判所
cover	cover,カバー
covers	covers,カバー
cowbells	cowbells,カウベル
cowboy	cowboy,カウボーイ
crab	crab,カニ
crackers	crackers,クラッカー
craft	craft,クラフト
crafting	crafting,クラフト
crafts	crafts,工芸品
crampons	crampons,アイゼン
cranberries	cranberries,クランベリー
cranberry	cranberry,クランベリー
cranes	cranes,クレーン
craps	craps,クラップス
crash	crash,クラッシュ
crate	crate,木箱
crates	crates,木箱
crawlers	crawlers,クローラー
cream	cream,クリーム
creatures	creatures,生き物
creepers	creepers,つる植物
crew	crew,クルー
cricket	cricket,クリケット
crimpers	crimpers,クリンパ
crochet	crochet,かぎ針編み
crops	crops,作物
cross	cross,クロス
crossbow	crossbow,クロスボウ
crossbows	crossbows,クロスボウ
cruiser	cruiser,クルーザー
crunchy	crunchy,カリカリ
crust	crust,地殻
cubes	cubes,立方体
cue	cue,キュー
cuff	cuff,袖口
cultural	cultural,文化的な
cummerbund	cummerbund,カマーバンド
cupcakes	cupcakes,カップケーキ
cupolas	cupolas,キューポラ
cups	cups,カップ
curling	curling,カーリング
curtains	curtains,カーテン
cushions	cushions,クッション
cut	cut,カット
cutlets	cutlets,カツレツ
cuts	cuts,カット
cutters	cutters,カッター
cutting	cutting,切断
cyclocross	cyclocross,シクロクロス
cymbals	cymbals,シンバル
dairy	dairy,乳製品
daisy	daisy,デイジー
dam	dam,ダム
dance	dance,ダンス
dancing	dancing,ダンシング
danishes	danishes,デンマーク人
dark	dark,暗い
dartboards	dartboards,ダーツボード
darts	darts,ダーツ
dates	dates,日付
decals	decals,デカール
deck	deck,デッキ
decks	decks,デッキ
decorating	decorating,飾る
decoration	decoration,装飾
decorations	decorations,装飾
decoy	decoy,デコイ
decoys	decoys,おとり
dedicated	dedicated,ひたむきな
deer	deer,鹿
defense	defense,防衛
deli	deli,デリ
dental	dental,歯科
deodorizers	deodorizers,消臭剤
derailleurs	derailleurs,ディレーラー
design	design,デザイン
designs	designs,デザイン
desk	desk,机
desks	desks,机
dessert	dessert,デザート
desserts	desserts,デザート
development	development,発達
devices	devices,デバイス
diamond	diamond,ダイヤモンド
diapers	diapers,おむつ
diaphragm	diaphragm,ダイヤフラム
dice	dice,サイコロ
diecast	diecast,ダイキャスト
diet	diet,ダイエット
digestive	digestive,消化器系
digital	digital,デジタル
dill	dill,ディル
dimple	dimple,えくぼ
dinghies	dinghies,ディンギー
dining	dining,ダイニング
dinner	dinner,夕食
diploma	diploma,ディプロマ
dirt	dirt,ダート
discs	discs,ディスク
dishes	dishes,食器
display	display,画面
displays	displays,ディスプレイ
disposable	disposable,使い捨て
distance	distance,距離
distribution	distribution,分布
diving	diving,ダイビング
divot	divot,ディボット
dj	dj
dodgers	dodgers,ドジャース
doll	doll,人形
dollhouse	dollhouse,ドールハウス
dollhouses	dollhouses,ドールハウス
dolls	dolls,人形
dolly	dolly,ドリー
donuts	donuts,ドーナツ
door	door,ドア
doorbells	doorbells,ドアホン
doors	doors,ドア
doorways	doorways,出入り口
double	double,ダブル
dough	dough,生地
downhill	downhill,下り坂
downloadable	downloadable,ダウンロード可能
downriggers	downriggers,ダウンリガー
downs	downs,ダウンズ
drapes	drapes,カーテン
drawing	drawing,描画
drawstring	drawstring,巾着
dress	dress,ドレス
dresses	dresses,dress,ドレス,ワンピース
dressing	dressing,ドレッシング
dried	dried,乾燥した
drill	drill,ドリル
drills	drills,ドリル
drivers	drivers,ドライバー
drivetrain	drivetrain,ドライブトレイン
driving	driving,運転
drumheads	drumheads,ドラムヘッド
drumsticks	drumsticks,ドラムスティック
dry	dry,ドライ
dryers	dryers,乾燥機
drysuits	drysuits,ドライスーツ
dtv	dtv
duck	duck,アヒル
duffel	duffel,ダッフル
duffels	duffels,ダッフル
dulcimers	dulcimers,ダルシマー
dumbbells	dumbbells,ダンベル
duvet	duvet,羽毛布団
duvets	duvets,羽毛布団
dvd	dvd
dye	dye,染料
earmuffs	earmuffs,イヤーマフ
earplugs	earplugs,耳栓
earrings	earrings,イヤリング
ears	ears,耳
easels	easels,イーゼル
ebook	ebook,電子ブック
edamame	edamame,枝豆
editing	editing,編集
education	education,教育
effects	effects,effect,エフェクター,効果
eggplant	eggplant,ナス
eggs	eggs,卵
elbow	elbow,肘
electric	electric,電気
electrical	electrical,電気
electro	electro,エレクトロ
electronic	electronic,電子
electronics	electronics,エレクトロニクス
eliminators	eliminators,エリミネーター
elk	elk,ヘラジカ
elliptical	elliptical,楕円形の
emblems	emblems,エンブレム
enabled	enabled,有効
encoding	encoding,エンコーディング
end	end,終わり
endodontics	endodontics,歯内療法
engine	engine,エンジン
english	english,英語
entrees	entrees,メインディッシュ
entry	entry,エントリ
environment	environment,環境
equalizers	equalizers,イコライザー
equestrian	equestrian,馬術
equipment	equipment,装置
es	es,エス
euphonium	euphonium,ユーフォニアム
euphoniums	euphoniums,ユーフォニアム
event	event,イベント
executive	executive,エグゼクティブ
exercise	exercise,エクササイズ
extracts	extracts,抜粋
eye	eye,目
eyewear	eyewear,メガネ
fabric	fabric,ファブリック
faceplates	faceplates,フェイスプレート
fairway	fairway,フェアウェイ
fantastic	fantastic,素晴らしい
farm	farm,農場
fat	fat,脂肪
faucet	faucet,蛇口
feather	feather,フェザー
fedoras	fedoras,フェドーラ帽
feed	feed,餌
feeders	feeders,フィーダー
felt	felt,感じた
fencing	fencing,フェンシング
fenders	fenders,フェンダー
fennel	fennel,フェンネル
festoon	festoon,花綱
fibrous	fibrous,繊維状の
fidget	fidget,そわそわする
field	field,分野
fight	fight,戦い
fighting	fighting,ファインティング
figs	figs,イチジク
figure	figure,形
figures	figures,数字
figurines	figurines,フィギュア
files	files,ファイル
filet	filet,フィレ肉
filipino	filipino,フィリピン人
film	film,膜
filter	filter,フィルター
filters	filters,フィルター
filtration	filtration,濾過
finance	finance,ファイナンス
finders	finders,ファインダー
fine	fine,大丈夫
finger	finger,指
fingertip	fingertip,指先
finishing	finishing,仕上げ
fins	fins,ひれ
firing	firing,発砲
first	first,初め
fish	fish,魚
fixed	fixed,修理済み
fixtures	fixtures,備品
flag	flag,フラグ
flags	flags,フラグ
flanges	flanges,フランジ
flank	flank,側面
flash	flash,フラッシュ
flashers	flashers,フラッシャー
flashes	flashes,点滅する
flatbreads	flatbreads,フラットブレッド
flats	flats,アパート
flatware	flatware,食器類
flea	flea,ノミ
fletches	fletches,矢羽
flexbands	flexbands,フレックスバンド
flexible	flexible,フレキシブル
flies	flies,ハエ
flights	flights,フライト
float	float,フロート
floats	floats,浮きます
floor	floor,床
flooring	flooring,床材
floormats	floormats,フロアマット
floors	floors,床
flower	flower,花
flowers	flowers,花
flugelhorn	flugelhorn,フリューゲルホルン
flugelhorns	flugelhorns,フリューゲルホルン
fluorescent	fluorescent,蛍光
fluorocarbon	fluorocarbon,フロロカーボン
flute	flute,フルート
flutes	flutes,フルート
fly	fly,飛ぶ
flying	flying,フライング
foam	foam,フォーム
focus	focus,集中
fog	fog,霧
foie	foie,フォア
foil	foil,ホイル
foils	foils,ホイル
folders	folders,フォルダ
folding	folding,折りたたみ
folk	folk,フォーク
fondue	fondue,フォンデュ
foods	foods,食べ物
foot	foot,足
football	football,フットボール
footballs	footballs,サッカーボール
footstools	footstools,フットスツール
footswitches	footswitches,フットスイッチ
for	for,のために
forearm	forearm,前腕
forks	forks,フォーク
formula	formula,式
fortune	fortune,運
fountain	fountain,噴水
fowl	fowl,家禽
frame	frame,フレーム
frames	frames,フレーム
freestyle	freestyle,フリースタイル
french	french,フランス語
fresh	fresh,新鮮な
fresheners	fresheners,芳香剤
fruit	fruit,フルーツ
fruitcakes	fruitcakes,フルーツケーキ
fruits	fruits,果物
fry	fry,稚魚
fu	fu,ふー
fudge	fudge,ファッジ
funeral	funeral,葬儀
funerary	funerary,葬儀
gadgets	gadgets,ガジェット
gaffs	gaffs,ギャフ
gag	gag,ギャグ
gags	gags,ギャグ
gaiters	gaiters,ゲートル
gameday	gameday,試合日
gaming	gaming,ゲーム
gap	gap,ギャップ
garages	garages,ガレージ
gardening	gardening,園芸
gates	gates,ゲート
gauge	gauge,ゲージ
gauges	gauges,ゲージ
gear	gear,ギヤ
gem	gem,宝石
gemstones	gemstones,宝石
general	general,一般的な
generators	generators,発電機
genesis	genesis,創世記,メガドライブ
geography	geography,地理
giblets	giblets,もつ
gift	gift,贈り物
gifts	gifts,ギフト
ginger	ginger,ジンジャー
gingerbread	gingerbread,ジンジャーブレッド
girls	girls,女の子
girths	girths,胴回り
glasses	glasses,眼鏡
globes	globes,地球儀
glockenspiels	glockenspiels,グロッケンシュピール
glove	glove,グローブ
gloves	gloves,手袋
glue	glue,のり
goal	goal,ゴール
goalkeeper	goalkeeper,ゴールキーパー
goalposts	goalposts,ゴールポスト
goals	goals,目標
goat	goat,ヤギ
goggles	goggles,ゴーグル
gongs	gongs,ゴング
goose	goose,ガチョウ
gps	gps
granola	granola,グラノーラ
grape	grape,グレープ
grapes	grapes,ブドウ
graphic	graphic,グラフィック
gras	gras,グラ
grass	grass,草
grating	grating,格子
grease	grease,グリース
green	green,緑
grenades	grenades,手榴弾
griddles	griddles,鉄板
grill	grill,グリル
grills	grills,グリル
grinders	grinders,グラインダー
grip	grip,グリップ
grips	grips,グリップ
grits	grits,グリッツ
grommet	grommet,グロメット
grommets	grommets,グロメット
grooming	grooming,グルーミング
ground	ground,地面
guards	guards,警備員
guava	guava,グアバ
guides	guides,ガイド
guitar	guitar,guitars,ギター
gun	gun,銃
guns	guns,銃
gym	gym,ジム
gymnastics	gymnastics,体操
gyroscopic	gyroscopic,ジャイロスコープ
habitats	habitats,生息地
hair	hair,髪
halters	halters,ホルター
ham	ham,ハム
hamburger	hamburger,ハンバーガー
hammers	hammers,ハンマー
hampers	hampers,妨げる
hand	hand,手
handbag	handbag,ハンドバッグ
handbags	handbags,ハンドバッグ
handball	handball,ハンドボール
handbells	handbells,ハンドベル
handheld	handheld,ハンドヘルド
handkerchiefs	handkerchiefs,ハンカチ
handlebar	handlebar,ハンドルバー
handling	handling,取り扱い
hands	hands,手
handsaws	handsaws,ハンドソー
hanger	hanger,ハンガー
hangers	hangers,ハンガー
hard	hard,難しい
harmoniums	harmoniums,ハーモニウム
harness	harness,ハーネス
harnesses	harnesses,ハーネス
hat	hat,帽子
hatchets	hatchets,手斧
hats	hats,帽子
hd	hd
head	head,頭
headbands	headbands,ヘッドバンド
headgear	headgear,ヘッドギア
headlamps	headlamps,ヘッドランプ
headlight	headlight,ヘッドライト
headlights	headlights
heads	heads,頭
headsets	headsets,ヘッドセット
headwear	headwear,帽子
headwraps	headwraps,ヘッドラップ
hearts	hearts,心
heat	heat,熱
heaters	heaters,ヒーター
heating	heating,加熱
heavy	heavy,重い
helicopters	helicopters,ヘリコプター
helmet	helmet,ヘルメット
helmets	helmets,ヘルメット
herald	herald,ヘラルド
herbal	herbal,ハーブ
herbs	herbs,ハーブ
hi	hi,こんにちは
high	high,高い
hinges	hinges,ヒンジ
hip	hip,ヒップ
hitch	hitch,ヒッチ
hitches	hitches
hitting	hitting,叩く
hobbies	hobbies,趣味
hockey	hockey,ホッケー
hocks	hocks,飛節
hoist	hoist,ホイスト
hoists	hoists,ホイスト
holders	holders,ホルダー
holsters	holsters,ホルスター
hoodies	hoodies
hook	hook,フック
hooks	hooks,フック
hoop	hoop,フープ
hooves	hooves,ひづめ
hoppers	hoppers,ホッパー
horn	horn,ホーン
horns	horns,角
horses	horses
hot	hot,熱い
house	house,家
household	household,家庭
houses	houses,家
housing	housing,ハウジング
hovercrafts	hovercrafts,ホバークラフト
hubs	hubs,ハブ
hybrid	hybrid,ハイブリッド
hydration	hydration,水分補給
hydraulics	hydraulics,油圧
ice	ice,氷
id	id
impact	impact
impeller	impeller,インペラ
impression	impression,印象
in	in,で
indicators	indicators,指標
indoor	indoor,屋内
infection	infection,感染
infinity	infinity,無限大
inflation	inflation,インフレーション
inline	inline,列をなして
ins	ins
insects	insects,昆虫
insert	insert,入れる
inspect	inspect,検査する
instruction	instruction
interactive	interactive
interfaces	interfaces
irons	irons,アイロン
isolation	isolation,分離
jackets	jackets,ジャケット
jacks	jacks,ジャック
jamun	jamun,ジャムン
janitorial	janitorial,管理人
jars	jars,瓶
jeans	jeans
jerky	jerky,ぎくしゃくした
jerseys	jerseys,ジャージ
jet	jet,ジェット
jigsaw	jigsaw,ジグソーパズル
jitsu	jitsu,ジツ
jiu	jiu,ジウ
joint	joint,ジョイント
jointers	jointers,ジョインター
jokes	jokes
joysticks	joysticks
judo	judo,柔道
juggling	juggling,ジャグリング
juice	juice,ジュース
juices	juices
jump	jump,ジャンプ
jumping	jumping,ジャンプする
kaleidoscopes	kaleidoscopes,万華鏡
kamas	kamas,カマス
karaoke	karaoke,カラオケ
karate	karate,空手
